NUMERO;NOME;BRINCOELETRONICO;SEXO;DTNASCIMENTO;CDCATEGORIAINICIAL;ORIGEM;NOME_1;RACA1;PERCENTUAL1;
502;Cuia;;F;30/12/2009;5;nascido;Novilha;Holandês;100;
503;Dacota;;F;03/01/2010;6;nascido;Vaca;Holandês;100;
504;Dada;;F;04/01/2010;5;nascido;Vaca;Holandês;100;
505;Dala;;F;29/01/2010;5;nascido;Vaca;Holandês;100;
506;Dandrea;;F;06/02/2010;5;nascido;Novilha;Holandês;100;
2187;Tigela;;F;21/05/2024;5;nascido;Novilha;Holandês;100;
507;Dama;;F;10/02/2010;6;nascido;Vaca;Holandês;100;
508;Damice;;F;15/02/2010;5;nascido;Novilha;Holandês;100;
509;Danada;;F;16/02/2010;5;nascido;Novilha;Holandês;100;
510;Dança;;F;17/02/2010;5;nascido;Vaca;Holandês;100;
511;Dara;;F;19/02/2010;5;nascido;Vaca;Holandês;100;
512;Darsa;;F;25/02/2010;6;nascido;Vaca;Holandês;100;
513;Data;;F;27/02/2010;5;nascido;Vaca;Holandês;100;
514;Debi;;F;28/02/2010;5;nascido;Vaca;Holandês;100;
515;Deca;;F;03/03/2010;5;nascido;Vaca;Holandês;100;
516;Decada;;F;06/03/2010;5;nascido;Vaca;Holandês;100;
517;Decana;;F;09/03/2010;5;nascido;Vaca;Holandês;100;
518;Decima;;F;10/03/2010;6;nascido;Novilha;Holandês;100;
577;Embala;;F;23/01/2011;6;nascido;Vaca;Holandês;100;
519;Decora;;F;16/03/2010;5;nascido;Novilha;Holandês;100;
520;Defesa;;F;17/03/2010;5;nascido;Vaca;Holandês;100;
521;Deixa;;F;20/03/2010;5;nascido;Vaca;Holandês;100;
522;Dejua;;F;22/03/2010;5;nascido;Vaca;Holandês;100;
523;Dila;;F;24/03/2010;5;nascido;Vaca;Holandês;100;
524;Delicada;;F;30/03/2010;5;nascido;Vaca;Holandês;100;
525;Delicia;;F;07/04/2010;5;nascido;Vaca;Holandês;100;
526;Dendria;;F;18/04/2010;5;nascido;Vaca;Holandês;100;
527;Dengosa;;F;20/04/2010;5;nascido;Vaca;Holandês;100;
528;Deriva;;F;20/04/2010;5;nascido;Vaca;Holandês;100;
529;Derma;;F;07/05/2010;5;nascido;Vaca;Holandês;100;
530;Derrama;;F;14/05/2010;5;nascido;Vaca;Holandês;100;
531;Derruba;;F;19/05/2010;5;nascido;Em crescimento;Holandês;100;
532;Desagua;;F;22/05/2010;5;nascido;Novilha;Holandês;100;
533;Desana;;F;28/05/2010;5;nascido;Em crescimento;Holandês;100;
534;Diadema;;F;31/05/2010;5;nascido;Em crescimento;Holandês;100;
535;Diaria;;F;06/06/2010;5;nascido;Vaca;Holandês;100;
536;Didata;;F;07/06/2010;5;nascido;Vaca;Holandês;100;
537;Didi;;F;09/06/2010;5;nascido;Vaca;Holandês;100;
538;Dieta;;F;16/06/2010;5;nascido;Vaca;Holandês;100;
539;Dilara;;F;30/06/2010;5;nascido;Vaca;Holandês;100;
540;Dina;;F;03/07/2010;5;nascido;Vaca;Holandês;100;
541;Dinda;;F;03/07/2010;5;nascido;Vaca;Holandês;100;
Adobe;Adobe;;M;18/06/2007;2;nascido;Reprodutor;Holandês;100;
Basco;Basco;;M;29/07/2008;2;nascido;Reprodutor;Holandês;100;
Bronze;Bronze;;M;;;nascido;;Holandês;100;
Cleveland;Cleveland;;M;;;nascido;;Holandês;100;
Delphi;Delphi;;M;;;nascido;;Holandês;100;
Digmann;Digmann;;M;;;nascido;;Holandês;100;
Goldplate;Goldplate;;M;;;nascido;;Holandês;100;
Keneth;Keneth;;M;;;nascido;;Holandês;100;
Lucidor;Lucidor;;M;;;nascido;;Holandês;100;
Marcus;Marcus;;M;;;nascido;;Holandês;100;
Suede;Suede;;M;;;nascido;;Holandês;100;
Timber;Timber;;M;;;nascido;;Holandês;100;
Twister;Twister;;M;;;nascido;;Holandês;100;
Venture;Venture;;M;;;nascido;;Holandês;100;
Windows;Windows;;M;;;nascido;;Holandês;100;
545;Dobra;;F;09/08/2010;5;nascido;Em crescimento;Holandês;100;
552;Dolara;;F;24/08/2010;5;nascido;Vaca;Holandês;100;
551;Dogma;;F;23/08/2010;5;nascido;Vaca;Holandês;100;
549;Doçura;;F;23/08/2010;5;nascido;Vaca;Holandês;100;
550;Dodoi;;F;23/08/2010;5;nascido;Vaca;Holandês;100;
548;Docil;;F;21/08/2010;5;nascido;Vaca;Holandês;100;
547;Doce;;F;20/08/2010;5;nascido;Vaca;Holandês;100;
DIARIO;Diario;;M;26/08/2010;1;nascido;Em crescimento;Holandês;100;
542;Dita;;F;27/07/2010;5;nascido;Vaca;Holandês;100;
543;Divisa;;F;31/07/2010;5;nascido;Vaca;Holandês;100;
544;Doada;;F;01/08/2010;5;nascido;Vaca;Holandês;100;
553;Dona;;F;11/09/2010;5;nascido;Vaca;Holandês;100;
562;Dual;;F;24/11/2010;6;nascido;Vaca;Holandês;100;
556;Dracena;;F;26/09/2010;5;nascido;Em crescimento;Holandês;100;
555;Dosa;;F;24/09/2010;5;nascido;Em crescimento;Holandês;100;
554;Donzela;;F;24/09/2010;5;nascido;Em crescimento;Holandês;100;
A556;Dozena;;F;26/09/2010;5;nascido;Em crescimento;Holandês;100;
JERRICK;Jerrick;;;;;nascido;;Holandês;100;
558;Draga;;F;04/10/2010;5;nascido;Vaca;Holandês;100;
557;Dracma;;F;29/09/2010;5;nascido;Vaca;Holandês;100;
565;Dundum;;F;08/12/2010;5;nascido;Em crescimento;Holandês;100;
563;Ducha;;F;24/11/2010;5;nascido;Vaca;Holandês;100;
564;Duma;;F;26/11/2010;6;nascido;Vaca;Holandês;100;
